comments;label
mi jefe me felicitó por el informe, todo en 1.;1
la pizza que pedí hoy estaba de la patada, bien buena.;1
qué tal la peli que vi anoche, una joya total, recomendadísima.;1
la serie que empecé ayer está en 0, ni buena ni mala.;0
qué bajón, se me cayó el celular y se hizo trizas.;-1
la comida en el chifa estaba 1, la sazón es insuperable.;1
no entendí nada de la clase de mate, fue como hablar en chino.;-1
mi crush me mandó un mensaje, estoy en las nubes.;1
me cacharon haciendo trampa en el examen, qué roche.;-1
la reunión fue un poco aburrida, todo estuvo en cero, ni fu ni fa.;0
la chamba de hoy estuvo heavy, demasiadas pegas, estoy agotado.;-1
no entiendo nada de este código, está más enredado que ovillo de lana.;-1
estoy chocho con el nuevo celular, es una maravilla.;1
perdí la comba de la chamba y ahora estoy desempleado.;-1
el código no me sale, creo que lo estoy haciendo más complicado.;-1
anoche la juerga estuvo 1, bailamos hasta el amanecer.;1
la comida en el mercado estuvo de la patada, bien mala.;-1
qué roche, le dije 'mamá' a la profesora en plena clase.;-1
me cancelaron el partido de fulbito, día malogrado.;-1
la música del concierto estaba al 1, puro sabor.;1
mi compi de la chamba me tiró la posta, hoy hay aumentazo de sueldo.;1
hoy todo estuvo chévere, ni frío ni calor, día relax.;0
el viaje a la playa estuvo 1, sol, arena y mar.;1
qué bajón, me chocaron el carro en plena avenida.;-1
el asado en casa de mi pata estuvo de la patada, buena carne y buena vibra.;1
hoy me rajé con el código, por fin funciona como debe.;1
anoche la rumba estuvo 1, baile hasta las 5 de la mañana.;1
me encontré con mi ex en el centro, qué oso.;-1
la serie nueva que vi es más aburrida que ver crecer las plantas.;-1
mi equipo ganó el campeonato, pura emoción.;1
la comida picante no es lo mío, la cena estuvo bien mala.;-1
la reunión de hoy estuvo en 0, puros chismes sin importancia.;0
la puesta de sol en la playa estuvo al 1, colores increíbles.;1
perdí la llave de la casa, ahora estoy varado en la calle.;-1
la comida en el mercado siempre es al 1, fresca y sabrosa.;1
no entiendo nada de este libro, el autor habla en otro idioma.;-1
el examen fue un desastre, ni idea de lo que preguntaban.;-1
la película nueva es más mala que pegarle a tu abuelita.;-1
hoy todo estuvo en cero, ni risas ni llantos, día neutro.;0
la comida en la pollería estuvo 1, el pollo bien jugoso.;1
me cagué de risa con el monólogo del comediante, un genio.;1
se me quemó la comida, qué despiste.;-1
la serie de terror me dejó helado, no puedo dormir.;-1
el partido de fútbol estuvo bien parejo, empate a cero.;0
hoy me salió todo mal, desde que me levanté hasta que me acosté.;-1
la comida en casa de la abuela siempre es al 1, amor en cada plato.;1
me olvidé la billetera en casa, ahora no puedo pagar el taxi.;-1
el concierto estuvo de la patada, el sonido era pésimo.;-1
la nueva serie es más aburrida que ver crecer las plantas.;-1
me dieron el ascenso en el trabajo, estoy en las nubes.;1
qué tal la película que vi anoche, más mala que pegarle a tu abuelita.;-1
mi crush me dio like en todas mis fotos, estoy chocho.;1
la comida en la cevichería estuvo al 1, pescado fresco y bien sazonado.;1
me echaron del trabajo sin previo aviso, qué mal plan.;-1
la serie de ciencia ficción está al 1, trama intrigante y efectos especiales geniales.;1
qué bajón, se me cayó el helado justo antes de darle el primer mordisco.;-1
la comida en la pizzería estuvo 1, masa crujiente y buen queso.;1
me crucé con mi ex en el centro y ni me saludó, qué oso.;-1
la fiesta de cumpleaños estuvo al 1, música, amigos y torta.;1
hoy todo estuvo chévere, ni frío ni calor, día relax.;0
el viaje a la playa estuvo 1, sol, arena y mar.;1
qué bajón, me chocaron el carro en plena avenida.;-1
el asado en casa de mi pata estuvo de la patada, buena carne y buena vibra.;1
hoy me rajé con el código, por fin funciona como debe.;1
anoche la rumba estuvo 1, baile hasta las 5 de la mañana.;1
me encontré con mi ex en el centro, qué oso.;-1
la serie nueva que vi es más aburrida que ver crecer las plantas.;-1
mi equipo ganó el campeonato, pura emoción.;1
la comida picante no es lo mío, la cena estuvo bien mala.;-1
la reunión de hoy estuvo en 0, puros chismes sin importancia.;0
la puesta de sol en la playa estuvo al 1, colores increíbles.;1
perdí la llave de la casa, ahora estoy varado en la calle.;-1
la comida en el mercado siempre es al 1, fresca y sabrosa.;1
no entiendo nada de este libro, el autor habla en otro idioma.;-1
el examen fue un desastre, ni idea de lo que preguntaban.;-1
la película nueva es más mala que pegarle a tu abuelita.;-1
hoy todo estuvo en cero, ni risas ni llantos, día neutro.;0
la comida en la pollería estuvo 1, el pollo bien jugoso.;1
me cagué de risa con el monólogo del comediante, un genio.;1
se me quemó la comida, qué despiste.;-1
la serie de terror me dejó helado, no puedo dormir.;-1
el partido de fútbol estuvo bien parejo, empate a cero.;0
hoy me salió todo mal, desde que me levanté hasta que me acosté.;-1
la comida en casa de la abuela siempre es al 1, amor en cada plato.;1
me olvidé la billetera en casa, ahora no puedo pagar el taxi.;-1
el concierto estuvo de la patada, el sonido era pésimo.;-1
la nueva serie es más aburrida que ver crecer las plantas.;-1
me dieron el ascenso en el trabajo, estoy en las nubes.;1
qué tal la película que vi anoche, más mala que pegarle a tu abuelita.;-1
mi crush me dio like en todas mis fotos, estoy chocho.;1
la comida en la cevichería estuvo al 1, pescado fresco y bien sazonado.;1
me echaron del trabajo sin previo aviso, qué mal plan.;-1
la serie de ciencia ficción está al 1, trama intrigante y efectos especiales geniales.;1
qué bajón, se me cayó el helado justo antes de darle el primer mordisco.;-1
la comida en la pizzería estuvo 1, masa crujiente y buen queso.;1
me crucé con mi ex en el centro y ni me saludó, qué oso.;-1
la fiesta de cumpleaños estuvo al 1, música, amigos y torta.;1
